Date,Open,High,Low,Close,Volume
2025-12-18,384.04998779296875,386.79998779296875,380.45001220703125,383.45001220703125,7510229
2025-12-19,383.5,393.5,383.5,392.8500061035156,11595429
2025-12-22,393.0,399.29998779296875,392.8999938964844,398.95001220703125,9321669
2025-12-23,399.0,402.5,395.75,399.3999938964844,7734965
2025-12-24,399.0,403.6499938964844,397.6000061035156,400.0,8097208
2025-12-26,403.0,407.54998779296875,397.1499938964844,398.45001220703125,13284184
2025-12-29,401.0,403.45001220703125,392.45001220703125,393.25,15690096
2025-12-30,395.79998779296875,397.0,389.54998779296875,393.29998779296875,37726382
2025-12-31,395.8999938964844,401.29998779296875,395.70001220703125,399.6000061035156,9409818
2026-01-01,399.8999938964844,400.75,394.6000061035156,397.70001220703125,6084786
2026-01-02,399.6499938964844,405.6000061035156,398.95001220703125,403.1499938964844,10950368
2026-01-05,402.8500061035156,418.6000061035156,402.79998779296875,413.79998779296875,26097635
2026-01-06,414.70001220703125,415.70001220703125,410.20001220703125,413.1000061035156,9927677
2026-01-07,413.1000061035156,416.25,409.54998779296875,415.6499938964844,8279218
2026-01-08,415.70001220703125,422.95001220703125,414.04998779296875,415.6499938964844,22238704
2026-01-09,417.0,424.54998779296875,415.8500061035156,418.6499938964844,22963210
2026-01-12,419.5,419.79998779296875,410.6000061035156,417.70001220703125,14594852
2026-01-13,419.75,422.3500061035156,409.3999938964844,413.70001220703125,13393010
2026-01-14,411.0,420.79998779296875,411.0,417.6000061035156,17676239
2026-01-15,417.6000061035156,417.6000061035156,417.6000061035156,417.6000061035156,0
2026-01-16,416.54998779296875,417.25,406.3500061035156,410.25,18888193
2026-01-19,410.0,414.8999938964844,407.70001220703125,412.79998779296875,8012134
2026-01-20,413.8999938964844,415.3999938964844,406.0,409.3500061035156,32732305
2026-01-21,406.5,409.5,397.0,402.6499938964844,19150437
2026-01-22,406.0,418.29998779296875,406.0,417.29998779296875,19763144
2026-01-23,419.0,419.0,408.5,410.70001220703125,12715222
2026-01-27,416.45001220703125,419.25,411.6000061035156,415.95001220703125,15482165
2026-01-28,418.0,457.5,417.29998779296875,453.0,71986647
2026-01-29,454.25,455.95001220703125,438.25,444.5,42412510
2026-01-30,446.8500061035156,451.95001220703125,439.29998779296875,449.0,36684903
2026-02-02,432.0,441.3500061035156,420.25,439.1000061035156,43652893
2026-02-03,460.0,460.0,435.25,438.95001220703125,26696516
2026-02-04,436.79998779296875,443.3999938964844,433.79998779296875,439.20001220703125,12400181
2026-02-05,439.0,439.0,428.1499938964844,432.8999938964844,14345511
2026-02-06,433.0,433.3999938964844,425.54998779296875,429.6499938964844,11078888
2026-02-09,432.0,439.6000061035156,429.5,437.29998779296875,12162696
2026-02-10,438.0,441.29998779296875,433.54998779296875,437.29998779296875,10878065
2026-02-11,438.70001220703125,438.70001220703125,434.3500061035156,437.54998779296875,8274702
2026-02-12,437.0,444.95001220703125,434.6000061035156,443.8999938964844,16140306
2026-02-13,443.8999938964844,446.20001220703125,432.79998779296875,435.54998779296875,14086068
2026-02-16,433.04998779296875,438.6000061035156,429.1000061035156,438.0,8156650
2026-02-17,442.0,449.3500061035156,440.29998779296875,446.8500061035156,17963084
2026-02-18,450.0,453.5,446.1499938964844,447.70001220703125,14341134
2026-02-19,447.70001220703125,449.25,432.95001220703125,435.3500061035156,9791516
2026-02-20,435.0,445.3999938964844,433.70001220703125,441.1499938964844,9533724
2026-02-23,442.79998779296875,445.29998779296875,435.70001220703125,439.75,12915631
2026-02-24,437.0,437.5,430.3500061035156,435.04998779296875,12223376
2026-02-25,435.0,441.0,433.54998779296875,439.29998779296875,9469190
2026-02-26,440.6000061035156,449.8999938964844,440.0,449.04998779296875,13738213
2026-02-27,448.6000061035156,449.0,441.70001220703125,444.70001220703125,22732811
2026-03-02,442.1000061035156,456.70001220703125,441.70001220703125,453.95001220703125,35034174
2026-03-04,460.0,460.8500061035156,444.5,446.8500061035156,35193505
2026-03-05,448.79998779296875,467.8999938964844,445.8500061035156,460.0,38023711
2026-03-06,462.0,473.45001220703125,460.3500061035156,468.45001220703125,28154230
2026-03-09,470.0,470.0,450.0,457.3500061035156,21898419
2026-03-10,465.0,465.79998779296875,453.54998779296875,463.3500061035156,19398151
2026-03-11,463.5,469.79998779296875,453.25,454.1000061035156,16015126
2026-03-12,452.0,455.0,448.5,453.54998779296875,14089623
2026-03-13,451.8999938964844,452.3999938964844,433.6499938964844,439.3999938964844,19502809
2026-03-16,431.8999938964844,437.79998779296875,422.25,429.5,22324389
2026-03-17,432.45001220703125,441.04998779296875,430.29998779296875,439.3500061035156,14421128
2026-03-18,445.45001220703125,447.75,440.5,442.6000061035156,13700203
2026-03-19,436.1000061035156,439.0,428.3999938964844,430.79998779296875,12237975
2026-03-20,432.20001220703125,438.95001220703125,424.70001220703125,426.1000061035156,17599734
2026-03-23,420.6000061035156,421.75,404.0,405.5,18894757
2026-03-24,412.5,417.45001220703125,408.75,414.45001220703125,14642804
2026-03-25,416.29998779296875,422.0,412.54998779296875,413.45001220703125,15134997
2026-03-27,411.8999938964844,413.45001220703125,403.25,404.75,21818224
2026-03-30,400.0,413.25,399.3500061035156,400.6499938964844,22694742
2026-04-01,415.0,430.20001220703125,412.6499938964844,418.70001220703125,25301241
2026-04-02,417.0,423.6000061035156,407.5,421.6000061035156,19686517
2026-04-06,422.0,428.04998779296875,420.0,427.1499938964844,12327836
2026-04-07,424.0,429.0,420.6499938964844,427.79998779296875,11417162
2026-04-08,440.0,440.0,428.79998779296875,433.1000061035156,20054221
2026-04-09,425.0,443.29998779296875,424.5,439.75,19917307
2026-04-10,444.1000061035156,447.45001220703125,440.45001220703125,442.45001220703125,10833065
2026-04-13,435.0,445.5,434.0,441.54998779296875,15149734
2026-04-15,447.5,449.20001220703125,444.79998779296875,447.6499938964844,9915383
2026-04-16,449.8500061035156,457.0,448.8999938964844,455.6499938964844,12197884
2026-04-17,458.0,463.75,454.45001220703125,462.75,14128030
2026-04-20,462.0,464.3999938964844,456.0,457.54998779296875,9914017
2026-04-21,457.5,461.79998779296875,449.45001220703125,451.5,13492130
2026-04-22,450.79998779296875,451.8500061035156,444.70001220703125,448.70001220703125,11538028
2026-04-23,451.70001220703125,455.70001220703125,444.5,449.95001220703125,15021500
2026-04-24,450.0,451.20001220703125,438.75,444.45001220703125,11651499
2026-04-27,445.0,448.29998779296875,432.95001220703125,435.6000061035156,18502535
2026-04-28,435.6000061035156,441.0,433.54998779296875,435.75,10883746
2026-04-29,437.04998779296875,442.79998779296875,435.25,437.54998779296875,9507163
2026-04-30,436.45001220703125,436.45001220703125,424.5,431.29998779296875,15795581
2026-05-01,431.29998779296875,431.29998779296875,431.29998779296875,431.29998779296875,0
2026-05-04,433.0,438.6000061035156,428.6000061035156,433.54998779296875,10764998
2026-05-05,433.5,436.5,429.29998779296875,433.3500061035156,11671943
2026-05-06,437.0,439.6499938964844,435.1499938964844,438.20001220703125,9748728
2026-05-07,439.8999938964844,441.0,433.5,439.45001220703125,15696400
2026-05-08,439.0,443.79998779296875,437.79998779296875,439.70001220703125,11164661
2026-05-11,438.0,439.1499938964844,431.0,431.95001220703125,7631226
2026-05-12,430.20001220703125,432.5,415.5,416.5,15199825
2026-05-13,416.6000061035156,432.0,415.75,428.25,13230827
2026-05-14,431.0,435.1499938964844,424.45001220703125,428.8500061035156,9807792
2026-05-15,428.8500061035156,429.5,422.20001220703125,423.6499938964844,7593616
2026-05-18,423.8500061035156,427.79998779296875,414.6000061035156,426.6000061035156,10452161
2026-05-19,428.3999938964844,430.8999938964844,419.29998779296875,422.95001220703125,13350029
2026-05-20,416.29998779296875,420.0,407.0,413.29998779296875,28012723
2026-05-21,420.0,426.1000061035156,418.04998779296875,420.3999938964844,19789651
2026-05-22,421.45001220703125,421.45001220703125,415.45001220703125,416.54998779296875,9175611
2026-05-25,419.29998779296875,422.54998779296875,417.29998779296875,421.8500061035156,8862027
2026-05-26,423.5,425.54998779296875,418.8500061035156,420.1000061035156,12315435
2026-05-27,422.0,422.0,416.1000061035156,419.1000061035156,10871894
2026-05-28,419.1000061035156,419.1000061035156,419.1000061035156,419.1000061035156,0
2026-05-29,413.29998779296875,419.1000061035156,409.8999938964844,410.75,26559872
2026-06-01,412.3500061035156,413.70001220703125,404.75,407.20001220703125,16453240
2026-06-02,405.79998779296875,409.6000061035156,400.29998779296875,407.8500061035156,15004796
2026-06-03,408.0,408.95001220703125,403.1000061035156,406.6000061035156,6626958
2026-06-04,405.0,411.54998779296875,404.0,409.8999938964844,9119774
2026-06-05,410.1000061035156,412.0,405.1000061035156,408.20001220703125,11084641
2026-06-08,399.0,415.5,399.0,412.95001220703125,12017495
2026-06-09,417.0,417.0,410.0,412.04998779296875,10996007
2026-06-10,413.0,415.25,407.1000061035156,408.3500061035156,5371511
2026-06-11,407.3500061035156,407.3500061035156,401.75,402.29998779296875,6994969
2026-06-12,407.3500061035156,409.0,403.29998779296875,406.5,8086130
2026-06-15,412.0,412.5,406.0,409.54998779296875,11500111
2026-06-16,409.6000061035156,410.79998779296875,406.1499938964844,407.54998779296875,9701695
2026-06-17,407.0,422.3999938964844,406.1499938964844,419.8500061035156,24506595
2026-06-18,422.5,430.0,421.75,428.6000061035156,23598062
2026-06-19,427.8999938964844,431.6000061035156,424.54998779296875,426.8999938964844,10829044
2026-06-22,428.1000061035156,432.70001220703125,426.1499938964844,431.5,9754708
2026-06-23,435.0,435.0,418.5,420.0,15566093
2026-06-24,420.20001220703125,422.54998779296875,412.79998779296875,413.54998779296875,9620759
2026-06-25,413.6000061035156,415.04998779296875,406.0,407.20001220703125,21994027
2026-06-26,407.20001220703125,407.20001220703125,407.20001220703125,407.20001220703125,0
2026-06-29,406.79998779296875,418.29998779296875,403.54998779296875,411.6000061035156,26669735
2026-06-30,413.5,414.45001220703125,408.5,411.79998779296875,14611849
2026-07-01,413.0,417.6499938964844,411.3999938964844,416.25,8844076
2026-07-02,416.25,418.29998779296875,412.29998779296875,415.04998779296875,10736747
2026-07-03,418.6000061035156,424.5,417.1000061035156,418.04998779296875,12085695
2026-07-06,422.0,429.8999938964844,420.1000061035156,425.54998779296875,16516762
2026-07-07,425.54998779296875,425.8999938964844,416.0,419.1499938964844,7821978
2026-07-08,416.5,417.79998779296875,406.0,407.6000061035156,12837834
2026-07-09,409.1499938964844,411.0,404.04998779296875,406.20001220703125,10893635
2026-07-10,408.3999938964844,415.45001220703125,408.20001220703125,414.8500061035156,9273712
2026-07-13,411.95001220703125,412.8999938964844,408.6000061035156,410.79998779296875,6650781
2026-07-14,409.3500061035156,411.25,405.70001220703125,410.1000061035156,10652838
2026-07-15,409.0,414.29998779296875,408.3999938964844,410.95001220703125,9115088
2026-07-16,412.25,412.5,406.5,407.1000061035156,5679241
2026-07-17,407.1000061035156,411.20001220703125,405.1000061035156,409.45001220703125,6678047
2026-07-20,408.54998779296875,409.5,406.1000061035156,408.1499938964844,5382967
2026-07-21,408.1499938964844,410.95001220703125,406.5,410.04998779296875,5242231
2026-07-22,410.04998779296875,410.54998779296875,406.0,406.75,6665967
2026-07-23,405.54998779296875,406.95001220703125,404.1000061035156,404.79998779296875,2728801
